description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
"PL WRIST, AP & LAT VIEWS PORT LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
PLACE CATH CAROTID/INOM ART,Neck,The description involves imaging of the neck or cervical region.,Angiography,Yes,,,,,,
PLCT EXT PROTHESIS FOR ENDOVAS REPAIR,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
PO PORTABLE ABDOMEN PORT IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
PP C-SPINE SGL 1 VIEW PORT PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
PR ANKLE (2 VIEWS) PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"PRIMARY MECH THROMBECTOMY, ARTERIAL/BPG, INITIAL",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
PUNC ASP ABSCESS/HEMATOM/BULA/CYST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
R 36002 INJ PSEUDOANERYSM RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
R ABDOMEN (WITH LAT DECUB) RIGHT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
R ANKLE/FOOT (AP & LAT) SOFT TISSUE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R ART DUP LOW EXT RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
R BREAST CYST ASPIRATION RIGHT,Breast,The description involves imaging of the breasts.,Interventional Procedure,Yes,,,,,,
R CLIP PLACMENT FOLLOWING BREAST BX RIGHT,Breast,The description involves imaging of the breasts.,X-ray,No,,,,,,
R CT FOOT/ANKLE ARTHROGRAM RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,CT,No,,,,,,
R CT LOWER LIMB W/ CONTRAST RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
R CT SHOULDER ARTHROGRAM RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No,,,,,,
R LEG ARTERIOGRAM IN OR RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Angiography,No,,,,,,
R LOWER EXTREMITY FLUORO RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R MR ARM W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MR ELBOW W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MR HAND W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MR HIP W/CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
R MR SHOULDER W/ARTHROGRAM RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MRA UPER EXT RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
R NAVICULAR (SCAPHOID) VIEW ONLY RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
R STEREOTACTIC MAMMO CORE BIOPSY RIGHT,Breast,The description involves imaging of the breasts.,CT,Yes,,,,,,
R UNILAT POST PROCEDURE MAMMOGRAM RIGHT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
R US MSK ANKLE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Ultrasound,No,,,,,,
R US MSK SHOULDER RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
R WRIST (AP & LAT) SOFT TISSUE RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
REMOVE CVA OBSTRUCT S&I,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
"REPEAT PERC MECH THROMBECTOMY/LYTIC INJ, VENOUS",Vascular,The description involves imaging of blood vessels or vascular structures.,CT,No,,,,,,
RETROGRADE URETHROCYSTOGRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
REVISION TRANSHEP TUBE IN OR NO TECH FEE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ROP HIP UNILAT MIN 2 VIEWS RIGHT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RP EMERG. LOWER EXT VEINS RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RP FOREARM (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
RP PLEURAL ASP BY RADIOLOGIST RIGHT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes,,,,,,
RP RENAL TRANSPLANT U.S. RIGHT PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
RP SCAPULA RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"RP TOE(S), 2+ VIEW RIGHT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RP UNILAT BREAST US RIGHT PORT,Breast,The description involves imaging of the breasts.,Ultrasound,No,,,,,,
SACRO-ILIAC JTS (AXIAL & BILAT OBLS),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
SECONDARY THROMBECTOMY W/OTHER PERC PROCEDURE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
SEL CATH SEGMENTAL/SUBSEG PUL ARTERY,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
SELLA TURCICA (2 VIEWS),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"SINUSES (WATERS, CALDWELL & LAT)",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
SPINAL SEL A-GRAM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,No,,,,,,
STERNO-CLAVICULAR JOINTS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
T PLACT STENT EXTRACRAINAL/VERTIBRAL ART,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes,,,,,,
THORACIC ANGIO,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
THY BX GUID-RADIOLOGIST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes,,,,,,
THYROGEN I-123 TOTAL BODY SCAN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
TRANSCATHETER INFUSION,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
TRANSCATHETER RETRIEVAL INTRAVASCULAR FB,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
TUNNELED CENTRAL OR PICC W/PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
TV OB US,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"US ABDOMINAL WALL, SOFT TISSUE",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No,,,,,,
US BREAST DRAIN W OR W/O CATHETER,Breast,The description involves imaging of the breasts.,Ultrasound,Yes,,,,,,
US MSK ELBOW,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
"US UPPER EXTREMITY, SOFT TISSUE",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
VESSEL MAP PRE-OP HEMOD ACCESS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
VIRTUAL SCREENING COLONOSCOPY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ABD A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No,,,,,,
ABDOMEN (LAT DECUB ONLY),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
ADRENAL UNILAT SEL A-GRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Angiography,No,,,,,,
ANAL ULTRASOUND,Pelvis,Anal ultrasound images the anal canal and pelvic structures,Ultrasound,No,Ultrasound uses sound waves to produce images,Ultrasound imaging is non-invasive,,,,
"ANGIO, CAROTID.CEREBRAL UNILAT",Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",Angiography,Yes,,,,,,
ANIOPLASTY EA ADD'LL PERIPHERAL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ARCHER MAMMO NEEDLE LOCALIZATION,Breast,The description involves imaging of the breasts.,Mammography,Yes,,,,,,
ASP OF RENAL CYST (S&I),Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
ATHERECTOMY BRACHIOCEPHALIC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
ATHERECTOMY FEM/POP,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
AV SHUNT AGRAM S&I,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
B 36245-50 BILAT CATH 1ST ORD ABD/PEL/LWR BILAT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,Yes,,,,,,
B 47511-50 BILAT PRC T/H STNT I/E BIL DRN BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
B 47525-50 BILAT CHNG PERC BIL DRAIN CATH BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
B 50390-50 BILAT PERC ASP/INJ RENAL BY NEEDLE BILAT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes,,,,,,
B 50394 INJ NEPHROSTOMY/PYLOSTOMY BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
B BILAT DIAGNOSTIC MAMMOGRAM BILAT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
B BREAST CORE BIOSPY UNDER US BILAT,Breast,The description involves imaging of the breasts.,Ultrasound,No,,,,,,
B CHEST U.S. BILAT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
B CHEST WALL U.S. SCAN BILAT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
B CT LOWER LIMB W/O CONTRAST BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
B CT UP EXT W/C BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
B DIG DIAGNOSTIC MAMMO BILATERAL BILAT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
B FOOT 1 VIEW BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B FOREARM (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
B HIP 1 VIEW BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B HUMERUS (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
B MR KNEE W/O CONTRAST BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
B MRA LEG W/O C BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
B NAVICULAR (SCAPHOID ONLY) 4 VIEWS BILAT,MSK Upper Limb,Multiple x-ray views of the scaphoid bones evaluate bone fractures,X-ray,No,X-rays use low dose ionizing radiation to image bones,Radiographs are non-invasive,,,,
B PELVIS WITH JUDET VIEWS BILAT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
"B RIB BILAT, W/AP CHEST BILAT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
"B RIB UNILAT, W/ AP CHEST BILAT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
B SCAPULA BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BABYGRAM CHEST DECUB ONLY (71035),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
"BABYGRAM LOWER EXT,MIN 2 VIEWS",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BABYGRAM LUMBAR&THORACIC AP/LAT,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
BB KNEE (3 VIEWS) BILAT BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BIL LOW EXT VEIN/REFLUX STUDY (90 MIN),Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
BILIARY STONE REMOVAL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"BO ANKLE (AP, LAT & OBLIQUE) BILAT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"BO ANKLE (AP, MORTISE & LAT) BILAT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BO FEMUR (AP & LAT) SOFT TISSUE BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"BO FINGER(S),2+VIEWS BILAT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"BOP ANKLE (AP, LAT & OBLIQUE) BILAT IN O.R. PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"BP BILAT HIPS (AP,LAT & AP PELVIS) BILAT PORT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
BP ELBOW (AP & LAT) SOFT TISSUE BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP EMERG. LOWER EXT VEINS BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BP FOREARM (AP & LAT) BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP HUMERUS (AP & LAT) SOFT TISSUE BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
BP NAVICULAR (SCAPHOID ONLY) 4 VIEWS BILAT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
BP PLEURAL ASP BY RADIOLOGIST BILAT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes,,,,,,
"BP TOE(S), 2+ VIEW BILAT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BP UNILAT LOWER EXT VEINS BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BP US EXTREMITY NONVASCULAR BILAT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
BP US MAJOR JOINT ASP./INJ. BILAT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No,,,,,,
"BP WRIST, AP & LAT VIEWS BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"BX LIVER, PERCUTANEOUS",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
BX PERCU LUNG/MEDIASTINUM,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
BX PROST BY UROLOGIST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
C-SPINE CAROTID ON O.R. W/ CONTRAST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
C-SPINE OBLS ONLY 2 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"C-SPINE, TRAUMA (WITH FLEX, EXT & OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"C/OTHER COLONIC TUBE, ALL INCL.",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CARDIAC MORPHOLOGY W/CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
CARDIAC PERFUSION DOBUTAMINE,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
CARDIAC STRUCTURE/MORPHOLOGY IN CONGENITAL HEART DISEASE,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No,,,,,,
CAROT/CEREB BI,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CAROTID/CERVICAL/BILAT A-GRAM,Neck,The description involves imaging of the neck or cervical region.,Angiography,No,,,,,,
"CATHETER, THROMBOECTMY/EMBOECTMY",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes,,,,,,
