description,class,class_reason,tool,is_invasive
LO SHOULDER 1 VIEW LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LO UPPER EXTREMITY FLUORO LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LOC FOR PLEURAL ASP W/O RADIOLOGIST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes
LOO HUMERUS (AP & LAT) LEFT IN O.R. IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"LOP ELBOW, AP & LAT VIEWS LEFT IN O.R. PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LOP FEMUR (AP & LAT) LEFT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LOP FOREARM (AP & LAT) LEFT IN O.R. PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"LOP HAND (AP, LAT & OBLIQUE) LEFT IN O.R. PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LOP HIP UNILAT MIN 2 VIEWS LEFT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LOP HUMERUS (AP & LAT) LEFT IN O.R. PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"LOP KNEE (AP, LAT & OBLIQUE) LEFT IN O.R. PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LP ABDOMEN (LAT DECUB ONLY) LEFT PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
LP ANKLE/FOOT (AP & LAT) SOFT TISSUE LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LP CHEST U.S. LEFT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
LP CHEST WALL U.S. SCAN LEFT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
"LP HAND, AP & LAT. VIEWS LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LP HIP (UNILAT 2 VIEW) W/PELVIS (1 VIEW) LEFT PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
LP HIP 1 VIEW LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"LP RIB UNILAT, W/ AP CHEST LEFT PORT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
LP SCAPULA LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"LP TOE(S), 2+ VIEW LEFT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LP UNILAT BREAST US LEFT PORT,Breast,The description involves imaging of the breasts.,Ultrasound,No
LP US MAJOR JOINT ASP./INJ. LEFT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No
LP VENOUS DUP EXT UNI (MAP/DVT) LEFT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
LP VENOUS DUP UPPER EXT UNILATERAL LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"LPLP ELBOW (AP, LAT & OBLIQUE) LEFT PORT LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LPO SHOULDER 1 VIEW LEFT PORT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LPO TIB/FIB (AP & LAT) LEFT PORT IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
LUMBAR-SACRAL MYELOGRAM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
LYMPHANGIOGRAPHY UNILAT EXT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
MAMMO NEEDLE LOC,Breast,The description involves imaging of the breasts.,Mammography,Yes
METASTATIC SURVEY (ROUTINE),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
MR ABDOMEN,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
MR ANGIO SPINE W&W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,Yes
MR BREAST CAD,Breast,The description involves imaging of the breasts.,MRI,No
MR CALF W/O CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
MR FETAL,Obstetric,The description relates to pregnancy or fetal imaging.,MRI,No
MR GYN PELVIS W&W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No
MR HEAD & NECK ANGIO,Head,The description involves imaging of the head or skull.,MRI,Yes
MR HIP,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
MR MEDIASTINUM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
MR SHOULDER W&W/O CONTRAST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
MR SI JOINTS W&W/O CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
MR-ANGIO HEAD W & W/O CONTRAST,Head,The description involves imaging of the head or skull.,Angiography,Yes
MRA BRAIN W/CONTRAST,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No
MRA CAROTID/VERTEBRAL W/CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No
MRA KIDNEY W/CONTRAST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,No
MRA KIDNEY W/O C (ABD),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
MRA LOWER EXT W/O CONTRAST,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
MRA LUMBAR SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
MRA PELVIS W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No
MRA TORSO (CHEST & ABD) W/CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No
MRHAND W/O&W/CONTRAST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
MRI PELVIS WITHOUT CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No
NEEDLE LOCALIZATION LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes
NEEDLE LOCALIZATION RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes
NEONATALDOPPLER INTRACRANIAL ART LIMITED,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
"NO RAD MS 1ST 30""",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"NUCHAL TRANSLUCENCY US, SINGLE/FIRST FETUS",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
NUCHAL TRANSLUENCY US,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O 3 VIEW THORACIC SPINE IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O ABD COMPL INCLUDING LAT DECUB IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
O ABDOMINAL FLUORO IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
"O BILAT HIPS (AP,LAT & AP PELVIS) IN O.R.",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
O C-SPINE NON-TRAUMA W/FLEX & EXT 4 VIEWS IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O C-SPINE NON-TRAUMA W/OBLS 3 VIEWS IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O CHEST (LAT DECUB ONLY) IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
O CHEST FLUORO IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
O CHEST SGL VIEW/LINE PLACEMENT IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Interventional Procedure,Yes
"O CHOLANGIOGRAM,IN OR W FILMS IN O.R.",Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
O IVP NO TOMO IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"O L-SPINE (WITH FLEX, EXT & OBL) IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"O MANDIBLE (PA, TOWNES & BOTH OBLS) IN O.R.",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O SPINAL FLUORO IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O SPINAL FLUORO WITH RADIOLOGIST IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O T-L SPINE 3' FILM AP & LAT IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O THOR SP WITH OBL IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O TRAUMA #2 (AP CXR & PELVIS PORT) IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
O UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OB F/U W/MEASUREMENTS,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
OB F/U WITH MEASUREMENT,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
"OB FOOT AP,LAT & OBL IN O.R. BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OB KNEE (2 VIEWS) IN O.R. BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OB WRIST(3 + VIEWS) IN O.R. BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OBO FEMUR (AP & LAT) IN O.R. BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OL FINGER(S),2+VIEWS IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OL FOREARM (AP & LAT) SOFT TISSUE IN O.R. LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OL GLENO-HUMERAL SHOULDER (W/ Y VIEW) IN O.R. LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OL LOWER EXTREMITY FLUORO IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OL SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OL SHOULDER 1 VIEW IN O.R. LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OL THUMB (AP & LATERAL) IN O.R. LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
OLO FOREARM (AP & LAT) IN O.R. LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OLO LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OO ENTIRE SPINE (AP & LAT ONLY) IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OO LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OO LUMBAR SP,SINGLE FILM IN O.R. IN O.R.",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
OO SACRUM IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OOL FEMUR (AP & LAT) IN O.R. IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OOL HUMERUS (AP & LAT) IN O.R. IN O.R. LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"OOL WRIST, AP & LAT VIEWS IN O.R. IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"OOR ANKLE (AP, LAT & OBLIQUE) IN O.R. IN O.R. RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OOR SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA IN O.R. IN O.R. RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"OP ABDOMEN, SINGLE VIEW IN O.R. PORT",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
OP C-SPINE (SINGLE VIEW ONLY) IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OP CHEST FLUORO WITHOUT RADIOLOGIST IN O.R. PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
OP LUMBO-SACRAL SPINE (AP & LAT) IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OP NECK SOFT TISSUES IN O.R. PORT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
OP PORTABLE ABDOMEN IN O.R. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
OP SPINAL FLUORO WITHOUT RADIOLOGIST IN O.R. PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
OPB FEMUR (AP & LAT) IN O.R. PORT BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OPL ANKLE (2 VIEWS) IN O.R. PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OPL ANKLE (AP, LAT & OBLIQUE) IN O.R. PORT LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OPL ELBOW (AP, LAT & OBLIQUE) IN O.R. PORT LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"OPL ELBOW, AP & LAT VIEWS IN O.R. PORT LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OPL FOREARM (AP & LAT) IN O.R. PORT LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"OPL HAND (AP, LAT & OBLIQUE) IN O.R. PORT LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OPL HIP UNILAT MIN 2 VIEWS IN O.R. PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OPL KNEE (2 VIEWS) IN O.R. PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OPL UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. PORT LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OPOP ABDOMEN (SUPINE ONLY) IN O.R. PORT IN O.R. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
OPOP HIP 1 VIEW IN O.R. PORT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OPOP HIP UNILAT MIN 2 VIEWS IN O.R. PORT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OPOPR FOREARM (AP & LAT) SOFT TISSUE IN O.R. PORT IN O.R. PORT RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
